ECOREGION_CODE,ECO_NAME,Shrubland_CF,Protected_shrubland_CF,Grassland_CF,Protected_grassland_CF,Tundra_CF,Forest_CF,Protected_forest_CF,Pasture_CF,Protected_pasture_CF,Irrigated_crop_CF,Rainfed_crop_CF,Rockicedesert_CF,Urban_CF
IM0203,Chhota-Nagpur dry deciduous forests,0,0,0,0,0,4.44E-11,0,6.60E-11,0,5.87E-11,4.72E-11,0,7.61E-11
IM0204,East Deccan dry-evergreen forests,0,0,0,0,0,1.23E-10,0,2.33E-10,0,2.26E-10,1.78E-10,0,2.85E-10
IM0205,Irrawaddy dry forests,0,0,0,0,0,1.08E-10,0,1.93E-10,0,1.84E-10,1.48E-10,0,2.32E-10
IM0206,Khathiar-Gir dry deciduous forests,0,0,0,0,0,2.46E-11,0,3.70E-11,0,3.36E-11,2.73E-11,0,4.30E-11
IM0207,Narmada Valley dry deciduous forests,0,0,0,0,0,3.75E-11,0,5.44E-11,0,4.83E-11,3.95E-11,0,6.19E-11
IM0208,Northern dry deciduous forests,0,0,0,0,0,5.19E-11,0,8.86E-11,0,8.33E-11,6.66E-11,0,1.05E-10
IM0209,South Deccan Plateau dry deciduous forests,0,0,0,0,0,1.18E-10,0,1.95E-10,0,1.80E-10,1.44E-10,0,2.30E-10
IM0210,Southeastern Indochina dry evergreen forests,0,0,0,0,0,1.62E-10,0,2.45E-10,0,2.27E-10,1.90E-10,0,2.80E-10
IM0211,Southern Vietnam lowland dry forests,0,0,0,0,0,2.47E-10,0,3.83E-10,0,3.56E-10,2.94E-10,0,4.38E-10
IM0212,Sri Lanka dry-zone dry evergreen forests,0,0,0,0,0,4.93E-10,0,8.64E-10,0,8.23E-10,6.59E-10,0,1.03E-09
IM0301,Himalayan subtropical pine forests,0,0,0,0,0,1.54E-10,0,2.15E-10,0,2.04E-10,1.75E-10,0,2.44E-10
IM0302,Luzon tropical pine forests,0,0,0,0,0,3.81E-09,0,6.75E-09,0,6.53E-09,5.28E-09,0,8.05E-09
IM0303,Northeast India-Myanmar pine forests,0,0,0,0,0,2.89E-10,0,5.09E-10,0,4.92E-10,3.96E-10,0,6.13E-10
IM0304,Sumatran tropical pine forests,0,0,0,0,0,2.11E-09,0,4.01E-09,0,3.93E-09,3.15E-09,0,4.85E-09
IM0401,Eastern Himalayan broadleaf forests,0,0,0,0,0,3.87E-10,0,6.09E-10,0,5.92E-10,4.96E-10,0,7.14E-10
IM0402,Northern Triangle temperate forests,0,0,0,0,0,1.12E-09,0,2.03E-09,0,1.99E-09,1.60E-09,0,2.46E-09
IM0403,Western Himalayan broadleaf forests,0,0,0,0,0,1.68E-10,0,2.63E-10,0,2.53E-10,2.09E-10,0,3.10E-10
